	id	title	total.gross	distributer	genre	release.date	runtime	budget	MPAA.rating
970	illegaltender.htm	Illegal Tender 	3106835	Universal	Action / Crime	24/8/07	1 hrs. 48 min.	N/A	R
971	illusionist.htm	The Illusionist 	39868642	Yari Film Group	Period Drama	18/8/06	1 hrs. 49 min.	$16.5 million	PG-13
972	illusionist2010.htm	The Illusionist 	2231474	Sony Classics	Animation	25/12/10	1 hrs. 22 min.	$17 million	PG
973	iloveyoubethcooper.htm	I Love You Beth Cooper 	14800725	Fox	Comedy	10/7/09	1 hrs. 42 min.	$18 million	PG-13
974	iloveyouman.htm	"I Love You, Man "	71440011	Paramount (DreamWorks)	Comedy	20/3/09	1 hrs. 50 min.	N/A	R
975	iloveyouphillipmorris.htm	"I Love You, Phillip Morris "	2037459	Roadside Attractions	Comedy	3/12/10	1 hrs. 40 min.	$13 million	R
976	imaginariumofdoctorparnassus.htm	The Imaginarium of Doctor Parnassus 	7689607	Sony Classics	Fantasy	25/12/09	2 hrs. 2 min.	$30 million	PG-13
977	imaginarywitness.htm	Imaginary Witness: Hollywood and the Holocaust 	21507	Shadow Dist.	Documentary	7/12/07	1 hrs. 32 min.	N/A	Unrated
978	imaginethat.htm	Imagine That 	16123323	Paramount	Fantasy Comedy	12/6/09	1 hrs. 47 min.	$55 million	PG
979	imnotthere.htm	I'm Not There 	4017609	Weinstein Company	Music Drama	21/11/07	2 hrs. 15 min.	N/A	R
980	imreedfish.htm	I'm Reed Fish 	3567	Red Envelope Entertainment	Comedy / Drama	1/6/07	1 hrs. 33 min.	N/A	PG
981	imstillhere.htm	I'm Still Here 	408983	Magnolia	Comedy / Drama	10/9/10	1 hrs. 48 min.	N/A	R
982	inabetterworld.htm	In a Better World 	1008098	Sony Classics	Foreign	1/4/11	1 hrs. 59 min.	$5.5 million	R
983	inadream.htm	In a Dream 	54640	International Film Circuit	Documentary	10/4/09	1 hrs. 20 min.	N/A	Unrated
984	inbetweendays.htm	In Between Days 	23465	Kino	Drama	27/6/07	1 hrs. 23 min.	N/A	Unrated
985	inbruges.htm	In Bruges 	7800824	Focus Features	Crime Comedy	8/2/08	1 hrs. 47 min.	N/A	R
986	incendies.htm	Incendies 	2071334	Sony Classics	Foreign	22/4/11	2 hrs. 10 min.	$6.8 million	R
987	inception.htm	Inception 	292576195	Warner Bros.	Sci-Fi Action	16/7/10	2 hrs. 28 min.	$160 million	PG-13
988	inconvenienttruth.htm	An Inconvenient Truth 	24146161	Paramount Classics	Documentary	24/5/06	1 hrs. 40 min.	N/A	PG
989	incrediblehulk.htm	The Incredible Hulk 	134806913	Universal	Action / Adventure	13/6/08	1 hrs. 54 min.	$150 million	PG-13
990	indianajones4.htm	Indiana Jones and the Kingdom of the Crystal Skull 	317101119	Paramount	Period Adventure	22/5/08	2 hrs. 0 min.	$185 million	PG-13
991	infamous.htm	Infamous 	1151330	Warner Independent	Drama	13/10/06	1 hrs. 58 min.	N/A	R
992	inferno.htm	Henri-Georges Clouzot's Inferno 	25489	Flicker Alley	Documentary	16/7/10	1 hrs. 42 min.	N/A	Unrated
993	informant.htm	The Informant! 	33316821	Warner Bros.	Drama / Thriller	18/9/09	1 hrs. 48 min.	$22 million	R
994	inglouriousbasterds.htm	Inglourious Basterds 	120540719	Weinstein Company	War	21/8/09	2 hrs. 32 min.	$70 million	R
995	inkheart.htm	Inkheart 	17303424	Warner Bros. (New Line)	Fantasy	23/1/09	1 hrs. 46 min.	$60 million	PG
996	inlandempire.htm	Inland Empire 	861355	518 Media	Drama / Thriller	6/12/06	2 hrs. 59 min.	N/A	R
997	inmysleep.htm	In My Sleep 	30158	Morning Star	Drama / Thriller	23/4/10	1 hrs. 30 min.	N/A	PG-13
998	insearchofamidnightkiss.htm	In Search of a Midnight Kiss 	172605	IFC	Romance	1/8/08	1 hrs. 30 min.	N/A	Unrated
999	insidejob.htm	Inside Job 	4312735	Sony Classics	Documentary	8/10/10	2 hrs. 0 min.	$2 million	PG-13
1000	insideman.htm	Inside Man 	88513495	Universal	Crime Thriller	24/3/06	2 hrs. 8 min.	$45 million	R
1001	insidious.htm	Insidious 	54009150	FilmDistrict	Horror	1/4/11	1 hrs. 38 min.	$1.5 million	PG-13
1002	international.htm	The International 	25450527	Sony / Columbia	Drama / Thriller	13/2/09	1 hrs. 58 min.	$50 million	R
1003	interrupters.htm	The Interrupters 	NA	Cinema Guild	Documentary	29/7/11	2 hrs. 5 min.	N/A	Unrated
1004	interview.htm	Interview 	416951	Sony Classics	Drama	13/7/07	1 hrs. 26 min.	N/A	R
1005	inthelandofwomen.htm	In the Land of Women 	11052958	Warner Bros.	Drama	20/4/07	1 hrs. 40 min.	N/A	PG-13
1006	intheloop.htm	In the Loop 	2388804	IFC	Comedy	24/7/09	1 hrs. 46 min.	N/A	Unrated
1007	inthepit.htm	In the Pit 	10433	Kino	Foreign	2/2/07	1 hrs. 30 min.	N/A	Unrated
1008	intheshadowofthemoon.htm	In the Shadow of the Moon 	1134358	ThinkFilm	Documentary	7/9/07	1 hrs. 40 min.	N/A	PG
